Name,Date,Likes,Views,Comments
Gavy NJ,2019-04-09,2635,237872,105
Stray Kids,2019-04-08,1262014,41443166,32992
Camila,2019-04-08,6773,167710,479
Girl Crush,2019-04-08,13360,535874,681
VAV,2019-04-07,112364,3968182,5224
1THE9,2019-04-07,27954,184869,1631
TXT,2019-04-07,952834,9706792,42767
Blackpink,2019-04-04,25184643,1906232442,2481437
Momoland,2019-04-03,41377,4733687,1899
Bolbbalgan4,2019-04-02,435649,36756488,10337
Iz*One,2019-04-01,1323627,96218523,111402
Vibe,2019-03-29,1363,239185,94
Badkiz,2019-03-28,2809,225091,376
Bastarz,2019-03-28,29142,366210,1567
GFriend,2019-03-27,11126,206962,315
1Team,2019-03-27,132444,1148310,6604
Kard,2019-03-27,525493,8588199,26146
Pentagon,2019-03-27,343782,5923046,14547
JBJ95,2019-03-26,104134,1630277,3960
PinkFantasy Shy,2019-03-25,27536,308148,2452
Jus2,2019-03-25,184324,7693131,6002
Bastarz,2019-03-25,46556,611052,2090
Stray Kids,2019-03-24,4177062,181573230,436707
Taeyeon,2019-03-22,909678,42821165,48091
GWSN,2019-03-20,5178,56101,311
Momoland,2019-03-20,1151573,70362606,175056
High School,2019-03-20,6167,83680,765
Dia,2019-03-19,48246,1141359,2949
Shafla,2019-03-18,11583,185129,1883
NCT 127,2019-03-18,1146512,34336692,79226
Everglow,2019-03-18,2358256,123962685,111628
VAV,2019-03-18,231626,26199886,19902
Mamamoo,2019-03-14,1278069,68086925,35775
100%,2019-03-14,17706,161968,1137
GWSN,2019-03-13,52532,21067961,3251
The T-Bird,2019-03-13,15412,99465,4055
Dreamnote,2019-03-12,60568,1911556,2635
Dreamcatcher,2019-03-11,20060,364589,1089
Wooseok x Kuanlin,2019-03-11,163081,1267511,7454
4Carat,2019-03-10,5607,87172,544
Argon,2019-03-10,18329,174945,820
Hi Cutie,2019-03-09,2315,48720,481
SF9,2019-03-08,26571,610316,1064
Hong Jinyoung,2019-03-08,69965,6991031,3293
Apeace,2019-03-08,1285,39005,187
R.Tee x Anda,2019-03-06,458985,13804507,22296
H.B.Y,2019-03-06,11579,131464,929
Dreamcatcher,2019-03-05,90673,2388491,3686
DALsooobin,2019-03-05,6170,171076,501
The Ade,2019-03-05,713,62086,95
MONSTA X,2019-03-04,156491,3057132,4487
Jang Dongwoo,2019-03-04,43992,637519,5188
Jang Dongwoo,2019-03-04,43479,586884,3239
TXT,2019-03-04,5732646,164488902,554674
Key,2019-03-03,351551,8488678,18953
Jus2,2019-03-03,946465,44054861,77482
GFRIEND,2019-03-03,287535,10485930,21139
Super Junior,2019-03-01,988217,25767083,98701
Vitamin,2019-02-28,15727,1803809,0
SUV,2019-02-27,37419,566287,6044
Yoochun,2019-02-27,28527,901718,3451
(G)I-dle,2019-02-26,1329259,76162103,60950
Giant Pink,2019-02-25,81082,1567875,3796
A Train To Autumn,2019-02-25,3373,50853,321
Boyfriend,2019-02-24,30420,423327,2487
Yukika,2019-02-22,113456,4217584,5702
Seven O'clock,2019-02-21,23938,304773,1228
U Sung Eun,2019-02-20,871,24009,67
SF9,2019-02-20,268074,7592024,17176
Hyomin,2019-02-20,48981,1231382,4630
The Pink Lady,2019-02-19,3949,68401,351
Trei,2019-02-19,11751,103515,1278
